%Time	Channel A	Channel B
%(us)	(mV)		(mV)
%
4.83999835	-0.80874040	-1.37333300
4.84799835	-0.83925900	-1.41911100
4.85599835	-0.85451820	-1.48014800
4.86399835	-0.86977740	-1.55644400
4.87199835	-0.90029600	-1.61748100
4.87999835	-0.90029600	-1.66325900
4.88799835	-0.88503670	-1.69377700
4.89599835	-0.85451820	-1.70903600
4.90399835	-0.82399970	-1.69377700
4.91199835	-0.77822200	-1.66325900
4.91999835	-0.74770340	-1.60222200
4.92799835	-0.68666640	-1.52592500
4.93599835	-0.64088860	-1.44962900
4.94399835	-0.61037020	-1.38859200
4.95199835	-0.56459240	-1.34281400
4.95999835	-0.54933320	-1.31229600
4.96799835	-0.51881460	-1.31229600
4.97599835	-0.48829610	-1.35807400
4.98399835	-0.47303690	-1.40385100
4.99199835	-0.47303690	-1.44962900
4.99999835	-0.48829610	-1.52592500
5.00799835	-0.51881460	-1.57170300
5.01599835	-0.53407390	-1.61748100
5.02399835	-0.56459240	-1.64799900
5.03199835	-0.61037020	-1.66325900
5.03999835	-0.62562940	-1.66325900
5.04799835	-0.65614790	-1.64799900
5.05599835	-0.67140720	-1.64799900
5.06399835	-0.68666640	-1.64799900
5.07199835	-0.70192570	-1.64799900
5.07999835	-0.70192570	-1.64799900
5.08799835	-0.71718490	-1.67851800
5.09599835	-0.70192570	-1.69377700
5.10399834	-0.68666640	-1.72429600
5.11199834	-0.67140720	-1.75481400
5.11999834	-0.64088860	-1.77007300
5.12799834	-0.61037020	-1.77007300
5.13599834	-0.59511090	-1.73955500
5.14399834	-0.56459240	-1.70903600
5.15199834	-0.54933320	-1.66325900
5.15999834	-0.53407390	-1.58696200
5.16799834	-0.51881460	-1.52592500
5.17599834	-0.51881460	-1.46488800
5.18399834	-0.53407390	-1.41911100
5.19199834	-0.53407390	-1.40385100
5.19999834	-0.54933320	-1.38859200
5.20799834	-0.56459240	-1.40385100
5.21599834	-0.59511090	-1.43437000
5.22399834	-0.61037020	-1.48014800
5.23199834	-0.62562940	-1.52592500
5.23999834	-0.64088860	-1.57170300
5.24799834	-0.65614790	-1.60222200
5.25599834	-0.67140720	-1.60222200
5.26399834	-0.67140720	-1.60222200
5.27199834	-0.65614790	-1.57170300
5.27999834	-0.64088860	-1.51066600
5.28799834	-0.64088860	-1.46488800
5.29599834	-0.61037020	-1.40385100
5.30399834	-0.57985160	-1.34281400
5.31199834	-0.57985160	-1.29703700
5.31999834	-0.53407390	-1.25125900
5.32799834	-0.51881460	-1.22074000
5.33599834	-0.48829610	-1.20548100
5.34399834	-0.44251840	-1.23600000
5.35199834	-0.42725910	-1.25125900
5.35999834	-0.41199990	-1.26651800
5.36799834	-0.39674060	-1.29703700
5.37599834	-0.39674060	-1.31229600
5.38399834	-0.38148130	-1.32755500
5.39199834	-0.38148130	-1.35807400
5.39999834	-0.39674060	-1.35807400
5.40799834	-0.38148130	-1.35807400
5.41599834	-0.39674060	-1.38859200
5.42399834	-0.41199990	-1.40385100
5.43199834	-0.39674060	-1.43437000
5.43999834	-0.42725910	-1.44962900
5.44799834	-0.42725910	-1.48014800
5.45599833	-0.42725910	-1.54118500
5.46399833	-0.42725910	-1.58696200
5.47199833	-0.42725910	-1.61748100
5.47999833	-0.41199990	-1.66325900
5.48799833	-0.39674060	-1.69377700
5.49599833	-0.38148130	-1.70903600
5.50399833	-0.38148130	-1.72429600
5.51199833	-0.35096280	-1.72429600
5.51999833	-0.33570360	-1.69377700
5.52799833	-0.33570360	-1.66325900
5.53599833	-0.32044430	-1.63274000
5.54399833	-0.33570360	-1.60222200
5.55199833	-0.32044430	-1.57170300
5.55999833	-0.32044430	-1.55644400
5.56799833	-0.33570360	-1.54118500
5.57599833	-0.35096280	-1.55644400
5.58399833	-0.36622210	-1.57170300
5.59199833	-0.38148130	-1.60222200
5.59999833	-0.38148130	-1.63274000
5.60799833	-0.41199990	-1.66325900
5.61599833	-0.42725910	-1.69377700
